address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
263 S 4TH ST,0,0,0,0.01,0.01,0.2,0.28,0.37,0.47,0.58,0.24,0.27,0.3,0.33,0.37,Society Hill,-75.148032134933,39.9455292582727,"c(-75.148032134933, 39.9455292582727)"
332 LOMBARD ST,0.03,0.05,0.08,0.11,0.17,0.31,0.41,0.51,0.62,0.71,0.23,0.26,0.29,0.32,0.35,Society Hill,-75.1485127530025,39.9423942484841,"c(-75.1485127530025, 39.9423942484841)"
241 S 6TH ST,0.03,0.04,0.07,0.1,0.15,0.32,0.41,0.52,0.62,0.71,0.36,0.4,0.44,0.48,0.51,Society Hill,-75.1508527193976,39.9460594011604,"c(-75.1508527193976, 39.9460594011604)"
505 PINE ST,0.03,0.05,0.07,0.11,0.16,0.14,0.2,0.28,0.37,0.47,0.34,0.37,0.41,0.45,0.48,Society Hill,-75.1506228533054,39.9439437132791,"c(-75.1506228533054, 39.9439437132791)"
621 LOMBARD ST,0.02,0.03,0.05,0.08,0.12,0.31,0.41,0.51,0.62,0.71,0.46,0.5,0.53,0.57,0.61,Society Hill,-75.1528112209832,39.9432624418444,"c(-75.1528112209832, 39.9432624418444)"
624 PINE ST,0.03,0.05,0.08,0.12,0.17,0.31,0.4,0.51,0.61,0.71,0.37,0.4,0.44,0.48,0.51,Society Hill,-75.152777373594,39.9438748743246,"c(-75.152777373594, 39.9438748743246)"
723 LOMBARD ST,0.02,0.04,0.05,0.08,0.13,0.19,0.27,0.36,0.46,0.56,0.33,0.36,0.4,0.44,0.47,Society Hill,-75.1543839534563,39.9434637343805,"c(-75.1543839534563, 39.9434637343805)"
400-16 S 2ND ST,0.03,0.04,0.07,0.1,0.15,0.24,0.32,0.42,0.52,0.62,0.5,0.53,0.57,0.61,0.65,Society Hill,-75.145666627385,39.9428758884949,"c(-75.145666627385, 39.9428758884949)"
324 SPRUCE ST,0.03,0.05,0.08,0.12,0.18,0.21,0.28,0.37,0.48,0.58,0.34,0.38,0.41,0.45,0.49,Society Hill,-75.1477965265435,39.9446646409728,"c(-75.1477965265435, 39.9446646409728)"
334 S 3RD ST,0.02,0.03,0.05,0.08,0.12,0.24,0.33,0.42,0.53,0.63,0.2,0.22,0.25,0.28,0.31,Society Hill,-75.1472896862355,39.9435931481594,"c(-75.1472896862355, 39.9435931481594)"
604-36 S WASHINGTON SQ,0.02,0.04,0.06,0.09,0.13,0.2,0.28,0.37,0.47,0.58,0.23,0.25,0.28,0.32,0.35,Society Hill,-75.1523122841151,39.9459022652284,"c(-75.1523122841151, 39.9459022652284)"
719 LOMBARD ST,0.02,0.04,0.05,0.08,0.13,0.36,0.46,0.56,0.66,0.75,0.46,0.5,0.54,0.57,0.61,Society Hill,-75.1542415156887,39.9434572862154,"c(-75.1542415156887, 39.9434572862154)"
220 LOCUST ST,0.03,0.04,0.07,0.1,0.15,0.28,0.37,0.47,0.58,0.68,0.5,0.53,0.57,0.61,0.65,Society Hill,-75.1452737442925,39.9448159154808,"c(-75.1452737442925, 39.9448159154808)"
233 S 6TH ST,0.03,0.04,0.07,0.1,0.15,0.22,0.3,0.4,0.5,0.61,0.34,0.37,0.41,0.45,0.48,Society Hill,-75.1508527193976,39.9460594011604,"c(-75.1508527193976, 39.9460594011604)"
130 SPRUCE ST,0.03,0.04,0.07,0.1,0.15,0.21,0.28,0.38,0.48,0.58,0.34,0.37,0.41,0.44,0.48,Society Hill,-75.1443736849311,39.9439454005541,"c(-75.1443736849311, 39.9439454005541)"
723 RODMAN ST,0.02,0.04,0.05,0.08,0.13,0.23,0.31,0.41,0.51,0.61,0.3,0.33,0.37,0.41,0.44,Society Hill,-75.1545421760965,39.942785934325,"c(-75.1545421760965, 39.942785934325)"
510 S 7TH ST,0.03,0.05,0.07,0.11,0.16,0.2,0.28,0.37,0.48,0.58,0.5,0.54,0.57,0.61,0.65,Society Hill,-75.1539678818421,39.9429189611354,"c(-75.1539678818421, 39.9429189611354)"
201 DELANCEY ST,0.02,0.03,0.05,0.08,0.12,0.38,0.48,0.58,0.68,0.76,0.46,0.5,0.53,0.57,0.61,Society Hill,-75.1452175106091,39.9438009454492,"c(-75.1452175106091, 39.9438009454492)"
200-10 LOMBARD ST,0.03,0.04,0.06,0.1,0.14,0.25,0.33,0.43,0.53,0.64,0.5,0.53,0.57,0.61,0.64,Society Hill,-75.1464423953258,39.9416572175871,"c(-75.1464423953258, 39.9416572175871)"
619 SPRUCE ST,0.02,0.03,0.04,0.07,0.1,0.28,0.37,0.47,0.58,0.67,0.2,0.23,0.25,0.28,0.32,Society Hill,-75.1524086035435,39.945573829019,"c(-75.1524086035435, 39.945573829019)"
115 LOMBARD ST,0.03,0.05,0.07,0.11,0.17,0.26,0.35,0.45,0.55,0.65,0.5,0.54,0.57,0.61,0.65,Society Hill,-75.1446395703594,39.9419047170101,"c(-75.1446395703594, 39.9419047170101)"
200 LOCUST ST,0.05,0.08,0.12,0.17,0.25,0.41,0.51,0.61,0.71,0.78,0.4,0.44,0.47,0.51,0.55,Society Hill,-75.1448137337477,39.94562660129,"c(-75.1448137337477, 39.94562660129)"
507 S 2ND ST,0.03,0.05,0.08,0.11,0.17,0.24,0.33,0.43,0.53,0.63,0.23,0.25,0.28,0.32,0.35,Society Hill,-75.1451547048251,39.9418831380131,"c(-75.1451547048251, 39.9418831380131)"
250 S 3RD ST,0.02,0.03,0.05,0.08,0.12,0.22,0.31,0.4,0.5,0.61,0.2,0.23,0.25,0.28,0.32,Society Hill,-75.147072187963,39.9456005863319,"c(-75.147072187963, 39.9456005863319)"
224 PINE ST,0.03,0.05,0.08,0.11,0.17,0.29,0.38,0.49,0.59,0.69,0.5,0.54,0.57,0.61,0.65,Society Hill,-75.1463754898467,39.9430609800452,"c(-75.1463754898467, 39.9430609800452)"
708 ADDISON ST,0.02,0.03,0.05,0.08,0.12,0.35,0.45,0.56,0.66,0.75,0.33,0.36,0.4,0.44,0.47,Society Hill,-75.1539081655701,39.943620654264,"c(-75.1539081655701, 39.943620654264)"
638 PINE ST,0.03,0.05,0.08,0.12,0.17,0.2,0.28,0.37,0.47,0.57,0.23,0.25,0.28,0.32,0.35,Society Hill,-75.1532300993242,39.9438900569555,"c(-75.1532300993242, 39.9438900569555)"
221 PINE ST,0.03,0.05,0.07,0.11,0.17,0.32,0.41,0.52,0.62,0.71,0.36,0.4,0.44,0.48,0.51,Society Hill,-75.1458812036241,39.9433520047902,"c(-75.1458812036241, 39.9433520047902)"
410 S FRONT ST,0.03,0.04,0.06,0.1,0.14,0.27,0.36,0.46,0.56,0.66,0.5,0.53,0.57,0.61,0.64,Society Hill,-75.1443571284826,39.9424809470026,"c(-75.1443571284826, 39.9424809470026)"
117 LOMBARD ST,0.02,0.03,0.05,0.07,0.11,0.24,0.32,0.42,0.52,0.62,0.2,0.23,0.25,0.28,0.32,Society Hill,-75.1445911517714,39.942203788216,"c(-75.1445911517714, 39.942203788216)"
314 S PHILIP ST,0.02,0.03,0.05,0.08,0.12,0.35,0.45,0.55,0.65,0.74,0.46,0.5,0.53,0.57,0.61,Society Hill,-75.1459546826078,39.9440889365584,"c(-75.1459546826078, 39.9440889365584)"
718 ADDISON ST,0.03,0.05,0.07,0.11,0.16,0.24,0.32,0.42,0.52,0.62,0.23,0.25,0.28,0.32,0.35,Society Hill,-75.1542428535647,39.9436751144871,"c(-75.1542428535647, 39.9436751144871)"
400-14 WALNUT ST,0.01,0.01,0.02,0.03,0.05,0.28,0.37,0.47,0.57,0.67,0.48,0.52,0.56,0.6,0.63,Society Hill,-75.1483059944391,39.9471931030561,"c(-75.1483059944391, 39.9471931030561)"
532 S 4TH ST,0.02,0.03,0.05,0.08,0.11,0.29,0.39,0.49,0.59,0.69,0.3,0.34,0.37,0.41,0.44,Society Hill,-75.149325624888,39.9418214020965,"c(-75.149325624888, 39.9418214020965)"
516 S FRONT ST,0.03,0.05,0.07,0.11,0.16,0.18,0.25,0.33,0.43,0.54,0.5,0.53,0.57,0.61,0.64,Society Hill,-75.1442515269384,39.9414222614241,"c(-75.1442515269384, 39.9414222614241)"
734 RODMAN ST,0.02,0.04,0.05,0.08,0.13,0.34,0.44,0.54,0.64,0.73,0.46,0.5,0.53,0.57,0.61,Society Hill,-75.1550578339684,39.9426613685822,"c(-75.1550578339684, 39.9426613685822)"
210 W WASHINGTON SQ,0.05,0.07,0.11,0.16,0.23,0.36,0.46,0.57,0.67,0.75,0.23,0.26,0.29,0.32,0.35,Society Hill,-75.1536491608514,39.9472398398901,"c(-75.1536491608514, 39.9472398398901)"
538-40 SPRUCE ST,0.03,0.05,0.07,0.11,0.16,0.19,0.27,0.36,0.46,0.56,0.34,0.38,0.41,0.45,0.49,Society Hill,-75.1515084115785,39.9451801243448,"c(-75.1515084115785, 39.9451801243448)"
226 W WASHINGTON SQ,0.03,0.05,0.07,0.11,0.16,0.26,0.34,0.44,0.55,0.65,0.31,0.34,0.37,0.41,0.45,Society Hill,-75.1537371584072,39.9466169260539,"c(-75.1537371584072, 39.9466169260539)"
520 SPRUCE ST,0.03,0.05,0.08,0.11,0.17,0.17,0.23,0.32,0.41,0.52,0.23,0.25,0.28,0.32,0.35,Society Hill,-75.1508334675557,39.9450647610901,"c(-75.1508334675557, 39.9450647610901)"
423 PINE ST,0.03,0.04,0.06,0.09,0.14,0.18,0.25,0.34,0.44,0.55,0.23,0.25,0.28,0.32,0.35,Society Hill,-75.149750507227,39.943875660227,"c(-75.149750507227, 39.943875660227)"
308 GASKILL ST,0.03,0.05,0.07,0.11,0.16,0.2,0.28,0.37,0.47,0.57,0.23,0.25,0.28,0.32,0.35,Society Hill,-75.1479962705727,39.9419049654467,"c(-75.1479962705727, 39.9419049654467)"
413 SPRUCE ST,0.03,0.05,0.07,0.11,0.16,0.18,0.25,0.34,0.44,0.54,0.34,0.37,0.41,0.44,0.48,Society Hill,-75.1489687783782,39.9452247637182,"c(-75.1489687783782, 39.9452247637182)"
502 MANNING ST,0.03,0.04,0.07,0.1,0.15,0.21,0.29,0.38,0.49,0.59,0.34,0.37,0.41,0.45,0.48,Society Hill,-75.1508527193976,39.9460594011604,"c(-75.1508527193976, 39.9460594011604)"
224 GASKILL ST,0.02,0.03,0.05,0.08,0.11,0.31,0.4,0.5,0.61,0.7,0.33,0.37,0.4,0.44,0.48,Society Hill,-75.1470099125693,39.9418465762827,"c(-75.1470099125693, 39.9418465762827)"
509 CYPRESS ST,0.03,0.05,0.08,0.12,0.18,0.22,0.3,0.39,0.49,0.6,0.34,0.37,0.41,0.45,0.48,Society Hill,-75.1505094767078,39.9448416614966,"c(-75.1505094767078, 39.9448416614966)"
106 PINE ST,0.02,0.03,0.05,0.07,0.11,0.36,0.46,0.56,0.66,0.75,0.33,0.36,0.4,0.44,0.47,Society Hill,-75.1441212251915,39.9427873314519,"c(-75.1441212251915, 39.9427873314519)"
250 DELANCEY ST,0.02,0.03,0.05,0.08,0.12,0.25,0.33,0.43,0.53,0.64,0.3,0.34,0.37,0.41,0.44,Society Hill,-75.1469535799559,39.9437919953704,"c(-75.1469535799559, 39.9437919953704)"
637 ADDISON ST,0.02,0.03,0.05,0.08,0.12,0.33,0.43,0.54,0.64,0.73,0.46,0.5,0.53,0.57,0.61,Society Hill,-75.1532688726652,39.9437044552406,"c(-75.1532688726652, 39.9437044552406)"
709 PINE ST,0,0,0.01,0.01,0.02,0.19,0.26,0.35,0.45,0.55,0.28,0.31,0.34,0.38,0.41,Society Hill,-75.1538698472771,39.9444954210705,"c(-75.1538698472771, 39.9444954210705)"
239 S 3RD ST,0.02,0.03,0.05,0.08,0.12,0.37,0.47,0.57,0.67,0.76,0.46,0.5,0.54,0.57,0.61,Society Hill,-75.1464206977556,39.9458297005904,"c(-75.1464206977556, 39.9458297005904)"
238 SPRUCE ST,0.03,0.05,0.08,0.12,0.17,0.22,0.3,0.4,0.5,0.6,0.34,0.37,0.41,0.45,0.48,Society Hill,-75.1465044039425,39.9445550412402,"c(-75.1465044039425, 39.9445550412402)"
700 RODMAN ST,0.02,0.04,0.05,0.08,0.13,0.34,0.44,0.54,0.64,0.73,0.46,0.5,0.53,0.57,0.61,Society Hill,-75.1539773485614,39.9425201490411,"c(-75.1539773485614, 39.9425201490411)"
701 LOMBARD ST,0.02,0.04,0.05,0.08,0.13,0.33,0.42,0.53,0.63,0.72,0.33,0.36,0.4,0.43,0.47,Society Hill,-75.1538373153292,39.9433462769044,"c(-75.1538373153292, 39.9433462769044)"
269 SAINT JOSEPHS WAY,0.02,0.03,0.05,0.08,0.12,0.36,0.47,0.57,0.67,0.75,0.46,0.5,0.54,0.58,0.61,Society Hill,-75.1474804829101,39.9452294559776,"c(-75.1474804829101, 39.9452294559776)"
302 DELANCEY ST,0.02,0.03,0.05,0.08,0.12,0.36,0.46,0.56,0.66,0.75,0.46,0.5,0.54,0.57,0.61,Society Hill,-75.147355031033,39.9437921203889,"c(-75.147355031033, 39.9437921203889)"
521 CYPRESS ST,0.02,0.03,0.05,0.08,0.12,0.31,0.41,0.51,0.61,0.71,0.46,0.5,0.54,0.57,0.61,Society Hill,-75.1508741396819,39.9448749096906,"c(-75.1508741396819, 39.9448749096906)"
502 S HANCOCK ST,0.02,0.03,0.04,0.07,0.1,0.24,0.32,0.42,0.53,0.63,0.3,0.33,0.37,0.41,0.44,Society Hill,-75.1449094464609,39.9416589644513,"c(-75.1449094464609, 39.9416589644513)"
310 S 2ND ST,0.02,0.03,0.05,0.08,0.12,0.22,0.31,0.4,0.5,0.61,0.3,0.34,0.37,0.41,0.45,Society Hill,-75.1453101769402,39.9442184092526,"c(-75.1453101769402, 39.9442184092526)"
236 STAMPERS ST,0.03,0.05,0.07,0.11,0.17,0.29,0.38,0.48,0.58,0.68,0.5,0.54,0.57,0.61,0.65,Society Hill,-75.1468933628545,39.9426855105321,"c(-75.1468933628545, 39.9426855105321)"
631-33 PINE ST,0.02,0.03,0.05,0.08,0.12,0.24,0.32,0.42,0.52,0.62,0.3,0.34,0.37,0.41,0.45,Society Hill,-75.1529488571626,39.9442633024997,"c(-75.1529488571626, 39.9442633024997)"
220 W WASHINGTON SQ,0.05,0.07,0.11,0.16,0.23,0.28,0.37,0.47,0.57,0.67,0.23,0.26,0.29,0.32,0.36,Society Hill,-75.1537380462103,39.9470128946246,"c(-75.1537380462103, 39.9470128946246)"
304 CYPRESS ST,0.02,0.03,0.05,0.08,0.12,0.26,0.35,0.45,0.55,0.65,0.2,0.23,0.25,0.28,0.32,Society Hill,-75.1472794296112,39.9441972872417,"c(-75.1472794296112, 39.9441972872417)"
700-12 LOCUST ST,0.04,0.07,0.1,0.16,0.23,0.24,0.33,0.43,0.53,0.63,0.34,0.37,0.41,0.45,0.48,Society Hill,-75.1539023421182,39.9467047668047,"c(-75.1539023421182, 39.9467047668047)"
503 PINE ST,0.02,0.03,0.05,0.07,0.11,0.22,0.3,0.39,0.49,0.6,0.2,0.23,0.25,0.28,0.32,Society Hill,-75.1505593480035,39.9439345739596,"c(-75.1505593480035, 39.9439345739596)"
403 S 3RD ST,0.02,0.03,0.05,0.08,0.12,0.29,0.39,0.49,0.59,0.69,0.46,0.5,0.54,0.57,0.61,Society Hill,-75.1469885039791,39.9431450030428,"c(-75.1469885039791, 39.9431450030428)"
722 LOMBARD ST,0.06,0.09,0.14,0.21,0.29,0.43,0.53,0.63,0.73,0.8,0.54,0.58,0.61,0.65,0.68,Society Hill,-75.1544938304749,39.9431834007838,"c(-75.1544938304749, 39.9431834007838)"
308 S PHILIP ST,0.02,0.03,0.05,0.08,0.12,0.34,0.44,0.55,0.65,0.74,0.46,0.5,0.53,0.57,0.61,Society Hill,-75.1459267684112,39.9442240480601,"c(-75.1459267684112, 39.9442240480601)"
428 GASKILL ST,0.02,0.03,0.05,0.08,0.12,0.22,0.3,0.4,0.5,0.6,0.2,0.22,0.25,0.28,0.31,Society Hill,-75.1502102100654,39.9421903970582,"c(-75.1502102100654, 39.9421903970582)"
527 SPRUCE ST,0.03,0.05,0.07,0.11,0.16,0.2,0.28,0.37,0.47,0.58,0.34,0.37,0.41,0.45,0.48,Society Hill,-75.1509958530872,39.9454431236286,"c(-75.1509958530872, 39.9454431236286)"
529 S 7TH ST,0.02,0.03,0.04,0.07,0.1,0.29,0.38,0.48,0.59,0.68,0.46,0.5,0.53,0.57,0.61,Society Hill,-75.1537150024349,39.9424373323177,"c(-75.1537150024349, 39.9424373323177)"
8 BLACKWELL PL,0.03,0.05,0.07,0.11,0.17,0.29,0.38,0.48,0.58,0.68,0.5,0.54,0.57,0.61,0.65,Society Hill,-75.1464196874815,39.9427927264965,"c(-75.1464196874815, 39.9427927264965)"
737 SPRUCE ST,0.04,0.06,0.1,0.14,0.21,0.27,0.36,0.46,0.57,0.66,0.34,0.37,0.41,0.45,0.48,Society Hill,-75.154420952382,39.9458811521246,"c(-75.154420952382, 39.9458811521246)"
514 S 4TH ST,0.03,0.05,0.08,0.12,0.17,0.24,0.33,0.42,0.53,0.63,0.34,0.37,0.41,0.45,0.48,Society Hill,-75.1493025165428,39.9423025116029,"c(-75.1493025165428, 39.9423025116029)"
323 S 3RD ST,0.03,0.05,0.08,0.12,0.17,0.28,0.38,0.48,0.58,0.68,0.5,0.54,0.58,0.61,0.65,Society Hill,-75.1468516874609,39.9440441079868,"c(-75.1468516874609, 39.9440441079868)"
736-38 PINE ST,0.03,0.05,0.07,0.11,0.16,0.19,0.26,0.35,0.45,0.55,0.23,0.25,0.28,0.32,0.35,Society Hill,-75.154967058571,39.9440557061358,"c(-75.154967058571, 39.9440557061358)"
303 SPRUCE ST,0.02,0.03,0.05,0.08,0.12,0.37,0.48,0.58,0.68,0.76,0.33,0.37,0.4,0.44,0.48,Society Hill,-75.1471233157335,39.9448702153635,"c(-75.1471233157335, 39.9448702153635)"
713 LOMBARD ST,0.02,0.04,0.05,0.08,0.13,0.34,0.44,0.55,0.65,0.74,0.46,0.5,0.53,0.57,0.61,Society Hill,-75.1540540596604,39.943446942046,"c(-75.1540540596604, 39.943446942046)"
324 LOMBARD ST,0.02,0.03,0.05,0.08,0.12,0.32,0.42,0.53,0.63,0.72,0.33,0.36,0.4,0.44,0.47,Society Hill,-75.1482672992429,39.9423656959603,"c(-75.1482672992429, 39.9423656959603)"
504 LOMBARD ST,0.02,0.03,0.05,0.08,0.12,0.37,0.47,0.58,0.67,0.76,0.33,0.36,0.4,0.44,0.47,Society Hill,-75.1508319088051,39.9427128518456,"c(-75.1508319088051, 39.9427128518456)"
326 LOMBARD ST,0.03,0.05,0.08,0.11,0.17,0.25,0.33,0.43,0.54,0.64,0.36,0.4,0.44,0.48,0.51,Society Hill,-75.148326472627,39.9423729155626,"c(-75.148326472627, 39.9423729155626)"
704 LOMBARD ST,0.02,0.04,0.05,0.08,0.13,0.38,0.48,0.59,0.68,0.77,0.33,0.36,0.4,0.44,0.47,Society Hill,-75.1539131536389,39.943102138581,"c(-75.1539131536389, 39.943102138581)"
229 GASKILL ST,0.02,0.03,0.05,0.08,0.12,0.3,0.4,0.5,0.61,0.7,0.33,0.37,0.4,0.44,0.48,Society Hill,-75.1471069583827,39.9421122049049,"c(-75.1471069583827, 39.9421122049049)"
302 LOMBARD ST,0.03,0.04,0.07,0.1,0.15,0.23,0.31,0.4,0.51,0.61,0.5,0.53,0.57,0.61,0.65,Society Hill,-75.1476179945943,39.9422919226193,"c(-75.1476179945943, 39.9422919226193)"
3 WILLINGS ALLEY MEWS,0.02,0.03,0.05,0.07,0.11,0.22,0.3,0.39,0.5,0.6,0.2,0.22,0.25,0.28,0.31,Society Hill,-75.1470101137513,39.9466288830077,"c(-75.1470101137513, 39.9466288830077)"
243 DELANCEY ST,0.03,0.04,0.07,0.1,0.15,0.29,0.39,0.49,0.6,0.69,0.23,0.25,0.28,0.32,0.35,Society Hill,-75.1467033005758,39.9440397490904,"c(-75.1467033005758, 39.9440397490904)"
279 S 4TH ST,0.02,0.03,0.05,0.08,0.12,0.34,0.44,0.54,0.64,0.73,0.46,0.5,0.54,0.58,0.61,Society Hill,-75.1481747559521,39.945055636149,"c(-75.1481747559521, 39.945055636149)"
254 S 3RD ST,0.02,0.03,0.05,0.08,0.12,0.39,0.49,0.59,0.69,0.77,0.46,0.5,0.54,0.57,0.61,Society Hill,-75.1470859283954,39.9454999900464,"c(-75.1470859283954, 39.9454999900464)"
210 LOCUST ST,0.04,0.07,0.1,0.15,0.22,0.39,0.49,0.59,0.69,0.77,0.5,0.53,0.57,0.61,0.65,Society Hill,-75.1459214256946,39.9467936517084,"c(-75.1459214256946, 39.9467936517084)"
419 SPRUCE ST,0.03,0.04,0.07,0.1,0.16,0.19,0.26,0.35,0.45,0.55,0.34,0.37,0.41,0.44,0.48,Society Hill,-75.1491898768565,39.9452526883753,"c(-75.1491898768565, 39.9452526883753)"
335 PINE ST,0.03,0.05,0.07,0.11,0.16,0.16,0.23,0.31,0.41,0.51,0.23,0.25,0.28,0.32,0.35,Society Hill,-75.1484592358214,39.943647656912,"c(-75.1484592358214, 39.943647656912)"
431 SPRUCE ST,0.02,0.03,0.05,0.08,0.12,0.39,0.49,0.6,0.69,0.77,0.46,0.5,0.54,0.58,0.61,Society Hill,-75.1496186927858,39.9453076545875,"c(-75.1496186927858, 39.9453076545875)"
412 SPRUCE ST,0.03,0.05,0.08,0.12,0.17,0.25,0.34,0.44,0.54,0.64,0.34,0.37,0.41,0.45,0.48,Society Hill,-75.1490789140827,39.9448340421324,"c(-75.1490789140827, 39.9448340421324)"
519 DELANCEY ST,0.02,0.04,0.05,0.08,0.13,0.27,0.35,0.46,0.56,0.66,0.3,0.34,0.37,0.41,0.45,Society Hill,-75.1509985447189,39.9445741235375,"c(-75.1509985447189, 39.9445741235375)"
436 SPRUCE ST,0.03,0.05,0.08,0.12,0.18,0.15,0.22,0.3,0.39,0.49,0.34,0.37,0.41,0.45,0.48,Society Hill,-75.1498457906002,39.9449583178898,"c(-75.1498457906002, 39.9449583178898)"
318 S AMERICAN ST,0.03,0.05,0.08,0.12,0.17,0.22,0.3,0.39,0.5,0.6,0.34,0.37,0.41,0.45,0.48,Society Hill,-75.1463235181806,39.9441345164483,"c(-75.1463235181806, 39.9441345164483)"
228 LOCUST ST,0.02,0.03,0.05,0.08,0.12,0.39,0.49,0.59,0.69,0.77,0.46,0.5,0.54,0.57,0.61,Society Hill,-75.1453710865521,39.9450201765315,"c(-75.1453710865521, 39.9450201765315)"
711 SPRUCE ST,0.03,0.04,0.06,0.1,0.14,0.35,0.45,0.56,0.66,0.74,0.46,0.5,0.54,0.58,0.61,Society Hill,-75.1535589635125,39.9458446824871,"c(-75.1535589635125, 39.9458446824871)"
435 SPRUCE ST,0.03,0.05,0.07,0.11,0.17,0.28,0.37,0.48,0.58,0.68,0.36,0.4,0.44,0.48,0.51,Society Hill,-75.1497845006874,39.9452972232723,"c(-75.1497845006874, 39.9452972232723)"
524 LOMBARD ST,0.02,0.03,0.05,0.08,0.12,0.38,0.48,0.58,0.68,0.76,0.33,0.36,0.4,0.43,0.47,Society Hill,-75.1516927745561,39.9427840986414,"c(-75.1516927745561, 39.9427840986414)"
608 SPRUCE ST,0.02,0.03,0.05,0.07,0.11,0.29,0.38,0.48,0.59,0.68,0.46,0.5,0.54,0.58,0.61,Society Hill,-75.1520393941776,39.9451863189194,"c(-75.1520393941776, 39.9451863189194)"
330 LOMBARD ST,0.03,0.05,0.08,0.11,0.17,0.19,0.27,0.36,0.46,0.56,0.23,0.25,0.28,0.32,0.35,Society Hill,-75.1484436858792,39.9423851340772,"c(-75.1484436858792, 39.9423851340772)"
338 S 2ND ST,0.02,0.03,0.05,0.08,0.12,0.37,0.47,0.57,0.67,0.76,0.33,0.36,0.4,0.44,0.47,Society Hill,-75.1454381007199,39.943501380489,"c(-75.1454381007199, 39.943501380489)"
512 S 3RD ST,0.03,0.05,0.07,0.11,0.17,0.25,0.34,0.44,0.54,0.65,0.5,0.54,0.58,0.61,0.65,Society Hill,-75.1476997571964,39.9421276636229,"c(-75.1476997571964, 39.9421276636229)"
422 S 7TH ST,0.03,0.05,0.07,0.11,0.16,0.28,0.37,0.47,0.58,0.68,0.5,0.54,0.57,0.61,0.65,Society Hill,-75.1538172157153,39.9435085028211,"c(-75.1538172157153, 39.9435085028211)"
540 CYPRESS ST,0.02,0.03,0.05,0.07,0.11,0.25,0.34,0.44,0.55,0.65,0.3,0.33,0.37,0.41,0.44,Society Hill,-75.1514192158423,39.9447636019457,"c(-75.1514192158423, 39.9447636019457)"
530 CYPRESS ST,0.02,0.03,0.05,0.08,0.12,0.29,0.38,0.49,0.59,0.69,0.3,0.34,0.37,0.41,0.44,Society Hill,-75.1511419110913,39.9447058403367,"c(-75.1511419110913, 39.9447058403367)"
328 S 3RD ST,0.02,0.03,0.04,0.07,0.1,0.37,0.47,0.57,0.67,0.75,0.33,0.36,0.4,0.43,0.47,Society Hill,-75.1472620143617,39.9437208464108,"c(-75.1472620143617, 39.9437208464108)"
238 S 7TH ST,0.03,0.04,0.06,0.1,0.14,0.36,0.46,0.56,0.66,0.75,0.46,0.5,0.54,0.57,0.61,Society Hill,-75.1533162724691,39.945920956168,"c(-75.1533162724691, 39.945920956168)"
105 LOMBARD ST,0.03,0.05,0.07,0.11,0.17,0.26,0.35,0.45,0.55,0.65,0.5,0.54,0.57,0.61,0.65,Society Hill,-75.1443324930336,39.9418618760641,"c(-75.1443324930336, 39.9418618760641)"
114-18 NAUDAIN ST,0.03,0.04,0.06,0.1,0.15,0.25,0.34,0.43,0.54,0.64,0.5,0.54,0.57,0.61,0.65,Society Hill,-75.144664093145,39.9415438370898,"c(-75.144664093145, 39.9415438370898)"
307 PINE ST,0.03,0.05,0.07,0.11,0.16,0.25,0.34,0.44,0.54,0.64,0.34,0.37,0.41,0.45,0.48,Society Hill,-75.1474747762966,39.9435709705946,"c(-75.1474747762966, 39.9435709705946)"
327 PINE ST,0.03,0.05,0.07,0.11,0.16,0.26,0.35,0.45,0.55,0.65,0.34,0.37,0.41,0.45,0.49,Society Hill,-75.1481628012617,39.9436560196895,"c(-75.1481628012617, 39.9436560196895)"
635 ADDISON ST,0.02,0.03,0.05,0.08,0.12,0.32,0.42,0.52,0.62,0.72,0.46,0.5,0.53,0.57,0.61,Society Hill,-75.1532068111894,39.9436914414536,"c(-75.1532068111894, 39.9436914414536)"
204 SPRUCE ST,0.02,0.03,0.05,0.08,0.12,0.23,0.31,0.4,0.51,0.61,0.2,0.23,0.25,0.28,0.32,Society Hill,-75.1454887504069,39.9444298173523,"c(-75.1454887504069, 39.9444298173523)"
332 S FRONT ST,0.02,0.03,0.05,0.08,0.12,0.34,0.44,0.54,0.65,0.73,0.46,0.5,0.54,0.57,0.61,Society Hill,-75.1437669663465,39.9433323425375,"c(-75.1437669663465, 39.9433323425375)"
429 SPRUCE ST,0.02,0.03,0.05,0.08,0.12,0.38,0.48,0.59,0.68,0.77,0.46,0.5,0.54,0.58,0.61,Society Hill,-75.1495501208592,39.9452969906752,"c(-75.1495501208592, 39.9452969906752)"
640 PINE ST,0.03,0.05,0.08,0.11,0.17,0.14,0.2,0.28,0.37,0.47,0.34,0.37,0.41,0.45,0.48,Society Hill,-75.1532954010468,39.9438978055406,"c(-75.1532954010468, 39.9438978055406)"
3 SAINT JAMES CT,0.02,0.04,0.06,0.09,0.13,0.22,0.3,0.4,0.5,0.6,0.34,0.37,0.41,0.44,0.48,Society Hill,-75.1508527193976,39.9460594011604,"c(-75.1508527193976, 39.9460594011604)"
